id;span_text;raw_output;pred_label;true_label;confidence;rationale
1314;to rot, I now hate him with a passion, and;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a targeted expression of hatred ('I now hate him with a passion') towards a specific individual.""
}";1;1;HIGH;The span_text contains a targeted expression of hatred ('I now hate him with a passion') towards a specific individual.
254;@user I'm' not a maga jackass ya bitch. So stfu.;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains targeted insults with derogatory language ('maga jackass', 'bitch') and aggressive tone ('stfu'), which indicates conflictual language.""
}";1;0;HIGH;The span_text contains targeted insults with derogatory language ('maga jackass', 'bitch') and aggressive tone ('stfu'), which indicates conflictual language.
88;@emmakennytv @user She is usually such a cheerful and beautiful;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""No explicit harmful content or protected category attacks found in the span_text.""
}";0;0;HIGH;No explicit harmful content or protected category attacks found in the span_text.
218;@dcexaminer @JoeBiden I have brain farts all the time with;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""LOW"",
   ""rationale"": ""No explicit harmful content or conflictual language found in the span_text.""
}";0;0;LOW;No explicit harmful content or conflictual language found in the span_text.
331;what the fuck is going on edtwt rn;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains excessive profanity ('what the fuck') which is considered conflictual language.""
}";1;0;HIGH;The span contains excessive profanity ('what the fuck') which is considered conflictual language.
1002;300 % crit dmg how the hell;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""MEDIUM"",
   ""rationale"": ""The span contains a targeted insult ('the hell') which is a form of aggressive language, and also a reference to a critical damage percentage, which can be seen as a form of competitive aggression.""
}";1;0;MEDIUM;The span contains a targeted insult ('the hell') which is a form of aggressive language, and also a reference to a critical damage percentage, which can be seen as a form of competitive aggression.
219;this shall pass too. Pappu ji can never be sexy.;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a derogatory comment towards a person, specifically 'Pappu ji can never be sexy'.""
}";1;1;HIGH;The span_text contains a derogatory comment towards a person, specifically 'Pappu ji can never be sexy'.
1770;Myanmar polices and soldiers are mothefuckers!!!;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a derogatory and offensive term ('mothefuckers') that attacks a specific group (Myanmar police and soldiers), which is a form of conflictual language.""
}";1;1;HIGH;The span_text contains a derogatory and offensive term ('mothefuckers') that attacks a specific group (Myanmar police and soldiers), which is a form of conflictual language.
521;I was doing homework. COVID made me a boring motherfucker;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains a targeted insult with profanity ('motherfucker'), which is considered conflictual language.""
}";1;0;HIGH;The span contains a targeted insult with profanity ('motherfucker'), which is considered conflictual language.
80;get sick, and my workplace is full of dick-noses.: /;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains a derogatory term ('dick-noses') that targets a group of people, indicating conflictual language.""
}";1;1;HIGH;The span contains a derogatory term ('dick-noses') that targets a group of people, indicating conflictual language.
1108;lmao, these rappers be deceitful & over exaggerating abilities, their;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""MEDIUM"",
   ""rationale"": ""The span contains a targeted insult towards a protected category (rappers) based on their profession.""
}";1;1;MEDIUM;The span contains a targeted insult towards a protected category (rappers) based on their profession.
1039;4 of those corrupt bastards need to go to prison.;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a targeted insult ('corrupt bastards') and a threat of imprisonment, which is a form of conflictual language.""
}";1;1;HIGH;The span_text contains a targeted insult ('corrupt bastards') and a threat of imprisonment, which is a form of conflictual language.
69;the jury, for those of you that are idiots unanimous;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains a derogatory term ('idiots') directed at a group of people ('those of you that are'), which is a form of targeted insult and conflictual language.""
}";1;1;HIGH;The span contains a derogatory term ('idiots') directed at a group of people ('those of you that are'), which is a form of targeted insult and conflictual language.
296;for the trap let the mothafucka snap, he a real;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains a targeted insult with a racial slur ('mothafucka') and a derogatory term ('he a real').""
}";1;0;HIGH;The span contains a targeted insult with a racial slur ('mothafucka') and a derogatory term ('he a real').
133;tw / hate speech, emotional & mental abuse block these;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains hate speech, which is a direct attack on individuals or groups based on protected categories.""
}";1;0;HIGH;The span_text contains hate speech, which is a direct attack on individuals or groups based on protected categories.
288;@TheRoyalButler How exactly does the spoon help me preventing suicidal;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains a question that implies a suicidal intent, which is a sensitive topic and can be considered as a targeted insult or a form of conflictual language.""
}";1;0;HIGH;The span contains a question that implies a suicidal intent, which is a sensitive topic and can be considered as a targeted insult or a form of conflictual language.
834;@user That's a load of shite;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a targeted insult ('That's a load of shite') which is a form of conflictual language.""
}";1;0;HIGH;The span_text contains a targeted insult ('That's a load of shite') which is a form of conflictual language.
369;@HillaryClinton @MasterClass Teaching, what exactly? I mean you've had more;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""MEDIUM"",
   ""rationale"": ""The span_text contains a targeted attack on @HillaryClinton's credibility and expertise, which is a form of conflictual language.""
}";1;1;MEDIUM;The span_text contains a targeted attack on @HillaryClinton's credibility and expertise, which is a form of conflictual language.
107;@hakeemjeffries innocent until proven guilty, mr representative (guess they don't;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a targeted attack on a protected category ('mr representative') and a phrase suggesting guilt without a trial.""
}";1;0;HIGH;The span_text contains a targeted attack on a protected category ('mr representative') and a phrase suggesting guilt without a trial.
551;can really put you down bitch you waiting on the;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains a derogatory term ('bitch') that is an insult and attack based on gender, which is a protected category.""
}";1;0;HIGH;The span contains a derogatory term ('bitch') that is an insult and attack based on gender, which is a protected category.
171;I m just learning myself from tweets of @user and;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""No explicit harmful content or protected categories mentioned in the span_text.""
}";0;0;HIGH;No explicit harmful content or protected categories mentioned in the span_text.
1032;@KTLA This shit is obscene and that judge is sick.;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a targeted insult ('sick') directed at a judge, which is a form of conflictual language.""
}";1;1;HIGH;The span_text contains a targeted insult ('sick') directed at a judge, which is a form of conflictual language.
1844;This trend of 'bored white suburban wives uploading food cringe;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a targeted insult ('bored white suburban wives') based on protected categories (race, color, caste, gender, etc.), which is considered conflictual language.""
}";1;1;HIGH;The span_text contains a targeted insult ('bored white suburban wives') based on protected categories (race, color, caste, gender, etc.), which is considered conflictual language.
1601;is here forever. However, the douchenozzles who CAN NOT just;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains targeted derogatory language ('douchenozzles') which is an attack based on a protected category.""
}";1;1;HIGH;The span contains targeted derogatory language ('douchenozzles') which is an attack based on a protected category.
1882;and my roller skates wow what a fucking dweeb dude;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains a targeted insult ('fucking dweeb') which is a form of conflictual language.""
}";1;1;HIGH;The span contains a targeted insult ('fucking dweeb') which is a form of conflictual language.
1025;@GlobalNational Mindless bobbleheads believe CO2 is the earth's temperature control;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a targeted attack based on a protected category ('earth's temperature control' is a scientifically inaccurate statement that can be perceived as an attack on climate change scientists and experts).""
}";1;1;HIGH;The span_text contains a targeted attack based on a protected category ('earth's temperature control' is a scientifically inaccurate statement that can be perceived as an attack on climate change scientists and experts).
146;Abiding memories of Reading Festival 1980 are NWOBHM, swimming in;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""No explicit harmful content or protected categories mentioned in the span_text.""
}";0;0;HIGH;No explicit harmful content or protected categories mentioned in the span_text.
253;yeah, im just kinda sad cuz it was my fault;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text expresses remorse and takes responsibility for an action, indicating a lack of conflictual language or harmful intent.""
}";0;0;HIGH;The span_text expresses remorse and takes responsibility for an action, indicating a lack of conflictual language or harmful intent.
162;//MCD, Bkkr, suicide (vague), Soulmates (skin writing), just a tiny;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a reference to suicide, which is a serious and sensitive topic.""
}";1;0;HIGH;The span_text contains a reference to suicide, which is a serious and sensitive topic.
330;edtwt so racist? cant you guys just starve in peace?;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains a racist statement ('so racist') and a derogatory phrase ('starve in peace'), which are targeted attacks based on protected categories.""
}";1;1;HIGH;The span contains a racist statement ('so racist') and a derogatory phrase ('starve in peace'), which are targeted attacks based on protected categories.
277;anti-racism'... like, no, you absolute fuckface!!! That's all wrong! The;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains a targeted attack based on protected categories ('anti-racism') and includes a derogatory term ('fuckface').""
}";1;0;HIGH;The span contains a targeted attack based on protected categories ('anti-racism') and includes a derogatory term ('fuckface').
1013;polltaxriotsMk2 are 100 % coming. Just a matter of time.;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a threat of violence ('riots') and a statement of impending harm ('are 100% coming'), which is considered conflictual language.""
}";1;1;HIGH;The span_text contains a threat of violence ('riots') and a statement of impending harm ('are 100% coming'), which is considered conflictual language.
7;Hey Kunal! We are sorry to hear on your trouble.;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text does not contain any explicit harmful content, profanity, slurs, or targeted insults.""
}";0;0;HIGH;The span_text does not contain any explicit harmful content, profanity, slurs, or targeted insults.
531;Bruno and all ffs These motherfuckers are the biggest problem;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The presence of targeted insults, such as 'motherfuckers', and derogatory language ('These motherfuckers') indicates conflictual language.""
}";1;0;HIGH;The presence of targeted insults, such as 'motherfuckers', and derogatory language ('These motherfuckers') indicates conflictual language.
304;random, but always remember that you only have to a;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""No explicit harmful content found in the span_text.""
}";0;0;HIGH;No explicit harmful content found in the span_text.
967;Paramore is fucken awesome.;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""Excessive profanity is present in the span_text, but it does not target a specific protected category.""
}";0;0;HIGH;Excessive profanity is present in the span_text, but it does not target a specific protected category.
1030;that those that seek power and privilege are generally cunts.;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains a derogatory slur ('cunts') targeting a protected category, which is a form of conflictual language.""
}";1;0;HIGH;The span contains a derogatory slur ('cunts') targeting a protected category, which is a form of conflictual language.
1315;@user Ca','n't' wait for the youngest to give a hand;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text does not contain any explicit profanity, slurs, or targeted insults, but it does contain a phrase that could be interpreted as dismissive or condescending ('can't wait for the youngest to give a hand').""
}";0;1;HIGH;The span_text does not contain any explicit profanity, slurs, or targeted insults, but it does contain a phrase that could be interpreted as dismissive or condescending ('can't wait for the youngest to give a hand').
420;said scholesy stick to sucking your daughters toes mate clueless;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains a targeted insult ('clueless') and derogatory language ('sucking your daughters toes'), which is considered conflictual language.""
}";1;1;HIGH;The span contains a targeted insult ('clueless') and derogatory language ('sucking your daughters toes'), which is considered conflictual language.
1338;@user He's a freaking spiteful little btchass asshole. After the;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains multiple derogatory terms ('spiteful little btchass asshole') that are targeted insults.""
}";1;1;HIGH;The span contains multiple derogatory terms ('spiteful little btchass asshole') that are targeted insults.
1069;@barstoolsports @SpinninBackfist Looks like a bunch of fags!;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains a derogatory term ('fags') which is a slur targeting the LGBTQ+ community.""
}";1;1;HIGH;The span contains a derogatory term ('fags') which is a slur targeting the LGBTQ+ community.
631;need a UK CNN to call the lying bastards out.;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a targeted insult ('lying bastards') which is considered conflictual language.""
}";1;0;HIGH;The span_text contains a targeted insult ('lying bastards') which is considered conflictual language.
48;this poor man up for clicks and views. Fkn pathetic;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains targeted derogatory language ('Fkn pathetic') which is directed at a person, implying a lack of empathy.""
}";1;0;HIGH;The span contains targeted derogatory language ('Fkn pathetic') which is directed at a person, implying a lack of empathy.
57;breaking down in the middle of a mood disorder lecture;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text does not contain conflictual language or explicit harm, but it does mention a mental health condition (mood disorder) which could be sensitive. However, given the context of a lecture, it's likely being discussed in a neutral or educational manner.""
}";0;0;HIGH;The span_text does not contain conflictual language or explicit harm, but it does mention a mental health condition (mood disorder) which could be sensitive. However, given the context of a lecture, it's likely being discussed in a neutral or educational manner.
9;@user @user @BBCNews UK media is clearly bigoted & an;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a targeted insult ('bigoted') and a derogatory term ('clearly'), which are indicative of conflictual language.""
}";1;1;HIGH;The span_text contains a targeted insult ('bigoted') and a derogatory term ('clearly'), which are indicative of conflictual language.
1045;hard for a bigoted little shitweasel like you to take,;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains targeted derogatory language ('bigoted little shitweasel') that attacks a person's character, indicating conflictual language.""
}";1;1;HIGH;The span contains targeted derogatory language ('bigoted little shitweasel') that attacks a person's character, indicating conflictual language.
98;Sometimes I wish I can remove Buju's verses & chorus;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a targeted attack on Buju's work, which can be considered conflictual language.""
}";1;0;HIGH;The span_text contains a targeted attack on Buju's work, which can be considered conflictual language.
548;attacks for 3 hours. fuck this i'm' taking meds again;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains a targeted insult ('fuck this') and a threat of violence ('attacks for 3 hours').""
}";1;0;HIGH;The span contains a targeted insult ('fuck this') and a threat of violence ('attacks for 3 hours').
1226;emotionally fragile and physically weak whining cunt',''''. Its amazing how;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains targeted derogatory language ('cunt') that is directed at a person, which is a form of targeted insult.""
}";1;1;HIGH;The span contains targeted derogatory language ('cunt') that is directed at a person, which is a form of targeted insult.
118;one pic.😆so you better first find your own sexuality 🙂;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a targeted comment on someone's sexuality, which is a protected category and can be considered as conflictual language.""
}";1;1;HIGH;The span_text contains a targeted comment on someone's sexuality, which is a protected category and can be considered as conflictual language.
835;be your wedding day. That's depressing af to think about.;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""MEDIUM"",
   ""rationale"": ""The span_text contains profanity ('af') and a negative sentiment, but no targeted insults, excessive profanity, or slurs.""
}";0;0;MEDIUM;The span_text contains profanity ('af') and a negative sentiment, but no targeted insults, excessive profanity, or slurs.
22;@DaRealMiniToon i love how minitoon is constantly healing my crippling;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""MEDIUM"",
   ""rationale"": ""The span_text contains a targeted insult ('crippling') which implies a negative and hurtful intent towards the person being addressed.""
}";1;0;MEDIUM;The span_text contains a targeted insult ('crippling') which implies a negative and hurtful intent towards the person being addressed.
839;Wen, the commie baby k * ller herself, admitted masks;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a derogatory term ('commie baby k * ller') and a slur ('k * ller'), which are targeted attacks based on political and personal categories.""
}";1;1;HIGH;The span_text contains a derogatory term ('commie baby k * ller') and a slur ('k * ller'), which are targeted attacks based on political and personal categories.
305;manzana verde I choose Map of the soul: 7 by;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""No conflictual language or excessive profanity detected in the span_text.""
}";0;0;HIGH;No conflictual language or excessive profanity detected in the span_text.
1390;@user I'm' guessing you use psycho otropic drugs and bizarre;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a targeted insult with the phrase 'I'm guessing you use psycho otropic drugs and bizarre', which is a form of attack based on perceived behavior.""
}";1;1;HIGH;The span_text contains a targeted insult with the phrase 'I'm guessing you use psycho otropic drugs and bizarre', which is a form of attack based on perceived behavior.
848;jail term starts. He will always be a useless twat.;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains targeted hate speech with derogatory terms ('useless twat') that attack an individual's character.""
}";1;1;HIGH;The span contains targeted hate speech with derogatory terms ('useless twat') that attack an individual's character.
1009;much as I find these scumbags absolutely disgusting and appalled;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains targeted derogatory language ('scumbags', 'disgusting', 'appalled') which is an attack on the character of the individuals.""
}";1;1;HIGH;The span_text contains targeted derogatory language ('scumbags', 'disgusting', 'appalled') which is an attack on the character of the individuals.
427;of the prom were fatphobes n cannibals or some shit;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains derogatory terms ('fatphobes', 'cannibals') that target protected categories, indicating conflictual language.""
}";1;1;HIGH;The span contains derogatory terms ('fatphobes', 'cannibals') that target protected categories, indicating conflictual language.
1029;fuck unity. i don't want unity with treasonous bastards. and;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a targeted insult ('treasonous bastards') based on political affiliation, which is a protected category.""
}";1;1;HIGH;The span_text contains a targeted insult ('treasonous bastards') based on political affiliation, which is a protected category.
1136;joke. Criticsism is fine but that's some wildly arrogant dipshittery.;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a targeted insult ('dipshittery'), which is a form of conflictual language.""
}";1;1;HIGH;The span_text contains a targeted insult ('dipshittery'), which is a form of conflictual language.
122;i've been bulimic for so long my body just naturally;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a reference to bulimia, a serious eating disorder, which is a sensitive and potentially triggering topic.""
}";1;0;HIGH;The span_text contains a reference to bulimia, a serious eating disorder, which is a sensitive and potentially triggering topic.
999;You were in the Millitary, nerd. Killing kids was your;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a graphic description of killing kids, which is a severe attack and a clear example of conflictual language.""
}";1;1;HIGH;The span_text contains a graphic description of killing kids, which is a severe attack and a clear example of conflictual language.
1132;@RobGronkowski You're an idiot. His wife can't stand that orange;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains a targeted insult ('You're an idiot') and a derogatory phrase ('orange', likely referring to a person's skin tone)""
}";1;1;HIGH;The span contains a targeted insult ('You're an idiot') and a derogatory phrase ('orange', likely referring to a person's skin tone)
714;know no one gives a shit but I'm a year;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""LOW"",
   ""rationale"": ""The span_text does not contain explicit phrases or patterns indicating conflictual language, excessive profanity, slurs, or targeted insults.""
}";0;0;LOW;The span_text does not contain explicit phrases or patterns indicating conflictual language, excessive profanity, slurs, or targeted insults.
713;I'd get to say that I dated fucking freddy fazbear;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""MEDIUM"",
   ""rationale"": ""The span_text contains a derogatory reference to a protected category (Freddy Fazbear is a character often associated with children) and excessive profanity, which may be considered conflictual language.""
}";1;0;MEDIUM;The span_text contains a derogatory reference to a protected category (Freddy Fazbear is a character often associated with children) and excessive profanity, which may be considered conflictual language.
378;to me when you can pitchfork a motherfucker to death;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains a violent and aggressive phrase 'pitchfork a motherfucker to death' which is an attack and constitutes conflictual language.""
}";1;0;HIGH;The span contains a violent and aggressive phrase 'pitchfork a motherfucker to death' which is an attack and constitutes conflictual language.
239;Cot Deaths, suicides, burned bodies, fatal RTCs. Little old lady;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains graphic descriptions of death and violence, which is a form of conflictual language.""
}";1;0;HIGH;The span_text contains graphic descriptions of death and violence, which is a form of conflictual language.
66;Send me a text with your cashtag baby ❤️❤️;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains affectionate language and emojis, indicating a friendly tone.""
}";0;0;HIGH;The span_text contains affectionate language and emojis, indicating a friendly tone.
271;me run around like a dumbass— but this is very;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text does not contain any explicit harmful content or language that could be considered conflictual.""
}";0;0;HIGH;The span_text does not contain any explicit harmful content or language that could be considered conflictual.
457;the first time it's happened. Control your cocks fellas x;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains a derogatory term ('cocks') and a derogatory phrase ('Control your cocks fellas'), which is an attack based on gender.""
}";1;0;HIGH;The span contains a derogatory term ('cocks') and a derogatory phrase ('Control your cocks fellas'), which is an attack based on gender.
17;— @HYBEOFFICIALtwt @BIGHIT_MUSIC Apparently on the new Bangtan Bomb. the;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text does not contain any explicit harmful content, profanity, slurs, or targeted insults.""
}";0;0;HIGH;The span_text does not contain any explicit harmful content, profanity, slurs, or targeted insults.
246;You must never do what your bio says cause your;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""MEDIUM"",
   ""rationale"": ""The span_text contains a command to not follow one's bio, which could be interpreted as an attack on a person's identity or characteristics.""
}";1;0;MEDIUM;The span_text contains a command to not follow one's bio, which could be interpreted as an attack on a person's identity or characteristics.
292;The Giants have reached their lowest point I can remember;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text does not contain any explicit or implicit harmful content, profanity, slurs, or targeted insults.""
}";0;0;HIGH;The span_text does not contain any explicit or implicit harmful content, profanity, slurs, or targeted insults.
