span_id,span_text,start_time,end_time,has_excessive_profanity,has_slur,has_targeted_insult,has_threat_or_violence,profanity_hits,slur_hits,insult_hits,threat_or_violence_hits
116,then mad we can shoot it out bitch i,108.745,111.228,,,,,,,,
117,shoot can it out bitch i,109.485,111.228,,,,,,,,
118,it shoot out bitch i,109.606,111.228,,,,,,,,
119,out it bitch i don't fight with niggers they'll beat me down,109.866,113.671,,,,,,,,
120,niggers with they'll beat me down they is,111.929,114.672,,,,,,,,
121,beat they'll me down they is,112.589,114.672,,,,,,,,
122,me beat down they is,112.97,114.672,,,,,,,,
123,down me they is like the junk like to,113.41,117.203,,,,,,,,
124,like is the junk like to,114.632,117.203,,,,,,,,
125,the like junk like to,114.732,117.203,,,,,,,,
126,junk the like to take a nigga car and rap at the,115.173,119.368,,,,,,,,
127,car nigga and rap at the same time stupid ass,117.804,121.553,,,,,,,,
128,the at same time stupid ass,118.887,121.553,,,,,,,,
129,same the time stupid ass,119.248,121.553,,,,,,,,
130,time same stupid ass niggas,119.428,121.974,,,,,,,,
131,stupid time ass niggas all they can do is rhyme they can,119.849,124.52,,,,,,,,
132,do can is rhyme they can,122.655,124.52,,,,,,,,
133,is do rhyme they can,122.836,124.52,,,,,,,,
134,rhyme is they can never get a motherfuckin' 9 to 5 stupid,123.076,128.028,,,,,,,,
135,motherfuckin' a 9 to 5 stupid ass niggas don't know 5 plus,125.301,130.092,,,,,,,,
136,niggas ass don't know 5 plus 5 they just,128.208,131.375,,,,,,,,
137,5 know plus 5 they just,129.311,131.375,,,,,,,,
138,plus 5 5 they just,129.571,131.375,,,,,,,,
139,5 plus they just know that if i can do a rhyme,129.972,133.039,,,,,,,,
140,i if can do a rhyme i can get time yeah fuck,131.937,135.725,,,,,,,,
141,can i get time yeah fuck all those niggas fuck all,133.059,137.569,,,,,,,,
142,all fuck those niggas fuck all,135.424,137.569,,,,,,,,
143,those all niggas fuck all,135.745,137.569,,,,,,,,
144,niggas those fuck all those niggas fuck all,135.905,139.292,,,,,,,,
145,all fuck those niggas fuck all,137.048,139.292,,,,,,,,
146,those all niggas fuck all,137.509,139.292,,,,,,,,
147,niggas those fuck all those niggas fuck all,137.609,140.976,,,,,,,,
148,all fuck those niggas fuck all,138.771,140.976,,,,,,,,
149,those all niggas fuck all,139.152,140.976,,,,,,,,
150,niggas those fuck all those niggas yeah fuck all those niggas fuck,139.332,144.262,,,,,,,,
151,fuck yeah all those niggas fuck all,141.737,144.423,,,,,,,,
152,all fuck those niggas fuck all,142.178,144.423,,,,,,,,
153,those all niggas fuck all,142.519,144.423,,,,,,,,
154,niggas those fuck all those niggas fuck all,142.699,146.146,,,,,,,,
155,all fuck those niggas fuck all,143.902,146.146,,,,,,,,
156,those all niggas fuck all,144.283,146.146,,,,,,,,
157,niggas those fuck all those niggas yeah fuck all those niggas niggas,144.483,149.313,,,,,,,,
158,fuck yeah all those niggas niggas can,146.888,149.453,,,,,,,,
159,all fuck those niggas niggas can,147.329,149.453,,,,,,,,
160,those all niggas niggas can,147.69,149.453,,,,,,,,
161,niggas those niggas can burn in hell trayvon as,147.87,151.497,,,,,,,,
162,burn can in hell trayvon as,149.333,151.497,,,,,,,,
163,in burn hell trayvon as,149.493,151.497,,,,,,,,
164,hell in trayvon as well niggas can,149.774,152.88,,,,,,,,
165,trayvon hell as well niggas can,149.894,152.88,,,,,,,,
166,as trayvon well niggas can,150.756,152.88,,,,,,,,
167,well as niggas can burn in hell niggas burn,151.437,154.744,,,,,,,,
168,burn can in hell niggas burn,152.78,154.744,,,,,,,,
169,in burn hell niggas burn,152.9,154.744,,,,,,,,
170,hell in niggas burn all the,153.241,167.817,,,,,,,,
171,niggas hell burn all the,153.361,167.817,,,,,,,,
172,burn niggas all the niggers in this bitch you motherfuckers used to,154.243,171.722,,,,,,,,
173,bitch this you motherfuckers used to be slaves now you,168.778,173.445,,,,,,,,
174,to used be slaves now you,171.422,173.445,,,,,,,,
175,be to slaves now you,171.622,173.445,,,,,,,,
176,slaves be now you think you can ride in my escalade stupid,171.802,176.849,,,,,,,,
177,ride can in my escalade stupid ass,174.146,177.21,,,,,,,,
178,in ride my escalade stupid ass,174.346,177.21,,,,,,,,
179,my in escalade stupid ass,174.726,177.21,,,,,,,,
180,escalade my stupid ass nigger better clean my car good before i,174.967,180.234,,,,,,,,
181,my clean car good before i,178.071,180.234,,,,,,,,
182,car my good before i,178.351,180.234,,,,,,,,
183,good car before i get this whip out and then shoot you,178.532,182.036,,,,,,,,
184,out whip and then shoot you in your hood dumbass nigger stupid,180.735,185.361,,,,,,,,
185,your in hood dumbass nigger stupid ass,182.057,185.601,,,,,,,,
186,hood your dumbass nigger stupid ass,182.177,185.601,,,,,,,,
187,dumbass hood nigger stupid ass,182.437,185.601,,,,,,,,
188,nigger dumbass stupid ass nigger you calling me a cracker well it's,182.798,188.425,,,,,,,,
189,me calling a cracker well it's,186.763,188.425,,,,,,,,
190,a me cracker well it's,187.104,188.425,,,,,,,,
191,cracker a well it's better to be a nigger better than,187.264,190.889,,,,,,,,
192,be to a nigger better than,188.706,190.889,,,,,,,,
193,a be nigger better than,188.826,190.889,,,,,,,,
194,nigger a better than being a nigger bitch you're,188.966,194.213,,,,,,,,
195,being than a nigger bitch you're,190.568,194.213,,,,,,,,
196,a being nigger bitch you're,191.049,194.213,,,,,,,,
197,nigger a bitch you're so black you look like a damn shade,191.55,196.797,,,,,,,,
198,look you like a damn shade bitch clean,194.734,199.751,,,,,,,,
199,a like damn shade bitch clean,195.335,199.751,,,,,,,,
200,damn a shade bitch clean,195.635,199.751,,,,,,,,
201,shade damn bitch clean my,195.716,199.912,,,,,,,,
202,bitch shade clean my car while i drink lemonade you fucking,196.116,203.365,,,,,,,,
203,i while drink lemonade you fucking,200.313,203.365,,,,,,,,
204,drink i lemonade you fucking,200.755,203.365,,,,,,,,
205,lemonade drink you fucking slave bobby 2,200.855,206.055,,,,,,,,
206,you lemonade fucking slave bobby 2,201.257,206.055,,,,,,,,
207,fucking you slave bobby 2,202.823,206.055,,,,,,,,
208,slave fucking bobby 2 pistols man fuck all,203.024,207.722,,,,,,,,
209,2 bobby pistols man fuck all,205.614,207.722,,,,,,,,
210,pistols 2 man fuck all,205.915,207.722,,,,,,,,
211,man pistols fuck all those niggas man real nigger,206.115,209.348,,,,,,,,
212,those all niggas man real nigger,207.621,209.348,,,,,,,,
213,niggas those man real nigger,207.742,209.348,,,,,,,,
214,man niggas real nigger anthem,207.922,209.689,,,,,,,,
215,real man nigger anthem,208.244,209.689,,,,,,,,
216,nigger real anthem,208.826,209.689,,,,,,,,
217,anthem nigger you,209.107,231.24,,,,,,,,
