span_id,span_text,start_time,end_time,has_excessive_profanity,has_slur,has_targeted_insult,llm_label,llm_confidence,llm_rationale,final_enforced_label
16,niggas those all fuck fuck all those niggas they wanna rap and,29.029,36.254,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains excessive profanity and a derogatory term, indicating a high level of harm.",HATE_SPEECH_GENERAL
17,fuck niggas those all all those niggas they wanna rap and,29.45,36.254,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains profanity ('fuck') and a slur ('niggas'), which is a strong indicator of hate speech.",HATE_SPEECH_GENERAL
18,all fuck niggas those those niggas they wanna rap and,29.631,36.254,,,,HATE_SPEECH_GENERAL,HIGH,"The presence of profanity, specifically the use of 'fuck' and 'niggas', indicates hate speech. This label is assigned due to the explicit and derogatory language used in the span_text.",HATE_SPEECH_GENERAL
19,those all fuck niggas niggas they wanna rap and,29.912,36.254,,,,HATE_SPEECH_GENERAL,HIGH,"The presence of profanity ('fuck', 'niggas') and derogatory term ('niggas') in the span_text, which is not mitigated by the absence of targeted insults or excessive profanity, justifies the classification as HATE_SPEECH_GENERAL.",HATE_SPEECH_GENERAL
20,niggas those all fuck they wanna rap and steal my shit because they can't get shit go and get a job stop trying to rob stop trying to,31.057,43.08,,,,HATE_SPEECH_GENERAL,HIGH,The presence of targeted insults and derogatory language towards a group of people ('niggas') and explicit profanity ('fuck') and threats ('stop trying to rob') justify the HATE_SPEECH_GENERAL label.,HATE_SPEECH_GENERAL
21,a get and go job stop trying to rob stop trying to fuck my mom my dick is bigger than yards fuck all niggas they can burn in,39.297,48.626,,,,HARASSMENT_OBSCENITY,HIGH,"The span_text contains explicit profanity, including 'fuck', and a targeted insult towards a group of people ('all niggas'), which exceeds the minimum allowed label.",HARASSMENT_OBSCENITY
22,than bigger is dick yards fuck all niggas they can burn in hell fuck rosa parks i'll slap that bitch as well niggas need to burn niggas need,44.462,55.373,,,,EXTREMISM_PROMOTION,LOW,"The span_text contains explicit extremist language, including 'burn in hell', 'slap that bitch', and multiple instances of derogatory language towards a historical figure ('rosa parks'), as well as threats towards a group of people ('niggas need to burn'). | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
23,bitch that slap i'll as well niggas need to burn niggas need to learn niggas can't pass class niggas can't learn yeah fuck all those,51.209,68.363,,,,EXTREMISM_PROMOTION,LOW,"The span_text contains phrases such as 'burn niggas', 'niggas need to burn', and 'fuck all those', which promote violence and extremism. The use of profanity and slurs further emphasizes the severity of the content. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
24,pass can't niggas learn class niggas can't learn yeah fuck all those,55.553,68.363,,,,HATE_SPEECH_GENERAL,HIGH,"The span contains excessive profanity ('fuck') and a derogatory term ('niggas'), which is a general indicator of hate speech.",HATE_SPEECH_GENERAL
25,class pass can't niggas niggas can't learn yeah fuck all those,56.454,68.363,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains the phrase 'niggas can't learn' which is derogatory and dismissive towards a group of people, and the phrase 'fuck all those' which is obscene and aggressive.",HATE_SPEECH_GENERAL
26,niggas class pass can't can't learn yeah fuck all those,56.874,68.363,,,,HATE_SPEECH_GENERAL,HIGH,"The presence of the slur 'niggas' and excessive profanity ('fuck') in the span_text, regardless of the context, justifies the classification as HATE_SPEECH_GENERAL.",HATE_SPEECH_GENERAL
27,can't niggas class pass learn yeah fuck all those,57.455,68.363,,,,HATE_SPEECH_GENERAL,HIGH,"Presence of profanity and derogatory tone, despite the absence of explicit slurs or targeted insults.",HATE_SPEECH_GENERAL
28,learn can't niggas class yeah fuck all those niggas fuck all those niggas fuck all those niggas yeah bitch my name is bobby two pistols you try to,57.675,77.411,,,,HATE_SPEECH_GENERAL,HIGH,The span contains repeated use of the racial slur 'niggas' which is a strong indicator of hate speech.,HATE_SPEECH_GENERAL
29,my bitch yeah niggas name is bobby two pistols you try to rob me i got a pistol i'm shooting a black nigger in his head again and,71.866,83.837,,,,EXTREMISM_PROMOTION,LOW,"The span_text contains explicit violent threats and racial slurs, promoting extremist ideologies. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
30,shooting i'm pistol a a black nigger in his head again and bitch i am,78.572,84.598,,,,HATE_SPEECH_GENERAL,LOW,"The presence of the racial slur 'nigger' in the span_text, which is not mitigated by the other signals, justifies the classification as HATE_SPEECH_GENERAL. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
31,nigger black a shooting in his head again and bitch i am,80.454,84.598,,,,HATE_SPEECH_GENERAL,LOW,"The presence of racial slurs and derogatory language, such as 'nigger' and 'bitch', indicates hate speech. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
32,in nigger black a his head again and bitch i am,80.934,84.598,,,,HATE_SPEECH_GENERAL,HIGH,"Presence of racial slur 'nigger' and multiple instances of profanity ('nigger', 'bitch') in the span_text.",HATE_SPEECH_GENERAL
33,his in nigger black head again and bitch i am,81.074,84.598,,,,HATE_SPEECH_GENERAL,HIGH,Presence of racial slur 'nigger' and derogatory term 'bitch',HATE_SPEECH_GENERAL
34,head his in nigger again and bitch i am,81.355,84.598,,,,HATE_SPEECH_GENERAL,HIGH,Presence of racial slur 'nigger' and profanity 'bitch' in the span_text,HATE_SPEECH_GENERAL
35,again head his in and bitch i am not george zimmerman i'm gonna kill that nigger dead kill that nigger dead record that shit and put it on,81.795,92.285,,,,EXTREMISM_PROMOTION,LOW,"The span_text contains explicit threats of violence and racial slurs ('nigger'), which is a clear promotion of extremism. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
36,nigger that kill dead dead record that shit and put it on worldstar as well fuck all those niggas they can burn in hell fuck eric garner he,88.121,99.213,,,,EXTREMISM_PROMOTION,LOW,"The span_text contains explicit hate speech and threats of violence, including 'kill', 'burn in hell', and racial slurs, indicating extremism promotion. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
37,they niggas those all can burn in hell fuck eric garner he fat as fucking hell fuck all those niggas i'll choke them out fuck all those niggas,94.627,105.821,,,,EXTREMISM_PROMOTION,LOW,"The span_text contains explicit hate speech towards a specific group of people ('niggas') and promotes violence ('burn in hell', 'choke them out'), which aligns with the characteristics of extremism promotion. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
38,niggas those all fuck i'll choke them out fuck all those niggas,101.035,105.821,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains multiple instances of profanity and a derogatory term, indicating a general tone of hate speech.",HATE_SPEECH_GENERAL
39,i'll niggas those all choke them out fuck all those niggas,101.415,105.821,,,,HATE_SPEECH_GENERAL,HIGH,"Presence of racial slur 'niggas' and excessive profanity, including 'fuck', indicates hate speech.",HATE_SPEECH_GENERAL
40,choke i'll niggas those them out fuck all those niggas,101.596,105.821,,,,HATE_SPEECH_GENERAL,HIGH,The presence of the racial slur 'niggas' and excessive profanity ('fuck') indicates hate speech.,HATE_SPEECH_GENERAL
41,them choke i'll niggas out fuck all those niggas,101.916,105.821,,,,HATE_SPEECH_GENERAL,HIGH,The presence of the racial slur 'niggas' and explicit profanity 'fuck' justify the label of hate speech general.,HATE_SPEECH_GENERAL
42,out them choke i'll fuck all those niggas i'll shoot it out if a nigger gets,102.397,108.664,,,,HARASSMENT_OBSCENITY,HIGH,"The span_text contains explicit profanity and a racial slur, meeting the criteria for HARASSMENT_OBSCENITY.",HARASSMENT_OBSCENITY
43,niggas those all fuck i'll shoot it out if a nigger gets,104.459,108.664,,,,HARASSMENT_OBSCENITY,HIGH,"Presence of explicit profanity ('fuck'), excessive profanity is not explicitly stated but the presence of the word 'nigger' is a racial slur, and the mention of violence ('shoot it out') which is a form of targeted insult.",HARASSMENT_OBSCENITY
44,i'll niggas those all shoot it out if a nigger gets,104.82,108.664,,,,EXTREMISM_PROMOTION,LOW,"The span_text contains a racial slur ('nigger') and a threat ('shoot it out'), indicating a promotion of extremism. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
45,shoot i'll niggas those it out if a nigger gets,105.02,108.664,,,,HATE_SPEECH_GENERAL,LOW,"The presence of racial slurs, such as 'nigger', in the span_text, justifies the label of HATE_SPEECH_GENERAL. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
46,it shoot i'll niggas out if a nigger gets,105.34,108.664,,,,HATE_SPEECH_GENERAL,LOW,"The span_text contains a racial slur ('nigger') and a threat of violence ('shoot'), which are indicators of hate speech. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
47,out it shoot i'll if a nigger gets mad then we can shoot it out bitch i don't fight,105.841,111.868,,,,HATE_SPEECH_GENERAL,LOW,"The presence of racial slurs and derogatory language ('nigger', 'bitch') indicates hate speech, even though the span_text does not contain a direct slur. The tone and language used are aggressive and derogatory, which aligns with hate speech general. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
48,we then mad gets can shoot it out bitch i don't fight,108.404,111.868,,,,HARASSMENT_OBSCENITY,HIGH,"The presence of profane language ('bitch') and a threat ('shoot it out') indicates a high level of severity, meeting the criteria for HARASSMENT_OBSCENITY.",HARASSMENT_OBSCENITY
49,can we then mad shoot it out bitch i don't fight,108.745,111.868,,,,HATE_SPEECH_GENERAL,LOW,"The presence of profanity ('bitch') and aggressive tone ('mad shoot it out') indicates a high level of hostility, which aligns with the characteristics of hate speech. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
50,shoot can we then it out bitch i don't fight,109.205,111.868,,,,HARASSMENT_OBSCENITY,HIGH,"The span contains profanity ('bitch') and aggressive tone ('shoot can we then it out'), exceeding the minimum allowed label.",HARASSMENT_OBSCENITY
51,it shoot can we out bitch i don't fight,109.425,111.868,,,,HARASSMENT_OBSCENITY,HIGH,"The span_text contains excessive profanity ('bitch') and informal, aggressive language ('it shoot can we out'), which meets the minimum allowed label and exceeds the threshold for HARASSMENT_OBSCENITY.",HARASSMENT_OBSCENITY
52,out it shoot can bitch i don't fight with niggers they'll beat me down they is like the junk like to take a,109.485,117.784,,,,HATE_SPEECH_GENERAL,LOW,"The span_text contains derogatory language and racial slurs ('niggers'), which is a clear indicator of hate speech. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
53,they down me beat is like the junk like to take a,112.97,117.784,,,,HATE_SPEECH_GENERAL,MEDIUM,"The presence of slurs is not explicitly mentioned, but the text contains profane language ('junk') and a potentially derogatory phrase ('down me beat'), which aligns with the characteristics of hate speech.",HATE_SPEECH_GENERAL
54,is they down me like the junk like to take a,113.41,117.784,,,,HATE_SPEECH_GENERAL,MEDIUM,The presence of derogatory language ('junk') and a potentially derogatory phrase ('down me like') suggests hate speech.,HATE_SPEECH_GENERAL
55,like is they down the junk like to take a,113.47,117.784,,,,NONE,HIGH,"The span_text does not contain any explicit phrases or patterns that indicate hate speech, extremism promotion, or harassment/obscenity.",NONE
56,the like is they junk like to take a,114.332,117.784,,,,NONE,HIGH,"No explicit harmful content, excessive profanity, slur, or targeted insult found in the span_text.",NONE
57,junk the like is like to take a nigga car and rap at the same time stupid ass niggas all they can do is rhyme they can never,114.632,124.881,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains multiple instances of racial slurs ('nigga') and derogatory language ('stupid ass niggas'), which are indicative of hate speech.",HATE_SPEECH_GENERAL
58,all niggas ass stupid they can do is rhyme they can never get a motherfuckin' 9 to 5 stupid ass niggas don't know 5 plus 5 they just,120.651,131.375,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains multiple instances of profanity ('motherfuckin', 'stupid ass niggas'), which is a characteristic of hate speech.",HATE_SPEECH_GENERAL
59,ass stupid 5 to niggas don't know 5 plus 5 they just know that if i can do a rhyme i can get time yeah fuck all those,126.544,136.066,,,,HATE_SPEECH_GENERAL,HIGH,The presence of a racial slur in the span_text ('niggas') and the use of derogatory language ('ass stupid') justify the HATE_SPEECH_GENERAL label.,HATE_SPEECH_GENERAL
60,rhyme a do can i can get time yeah fuck all those niggas fuck all those niggas fuck all those niggas fuck all those niggas yeah fuck all,132.237,142.659,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains repeated instances of profanity ('fuck') directed towards a group of people ('all those niggas'), which is a characteristic of hate speech.",HATE_SPEECH_GENERAL
61,those all fuck niggas niggas fuck all those niggas yeah fuck all those niggas fuck all those niggas fuck all those niggas yeah fuck all those niggas niggas,137.889,149.313,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains excessive profane language, including repeated instances of 'fuck' and 'niggas', which is a racial slur. This meets the criteria for hate speech general.",HATE_SPEECH_GENERAL
62,all fuck niggas those those niggas yeah fuck all those niggas niggas can burn in hell trayvon as well niggas can burn in hell niggas burn all the,144.483,167.817,,,,EXTREMISM_PROMOTION,LOW,"Presence of hate speech towards Trayvon, a specific individual, and the phrase 'can burn in hell' which implies extreme harm or violence. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
63,niggas well as trayvon can burn in hell niggas burn all the niggers in,150.756,168.678,,,,EXTREMISM_PROMOTION,LOW,"The span_text contains explicit violent threats towards specific groups, including 'niggers' and 'niggas', which is a clear promotion of extremism. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
64,burn can niggas well in hell niggas burn all the niggers in,151.618,168.678,,,,EXTREMISM_PROMOTION,LOW,"The span_text contains explicit hate speech and racial slurs ('niggas', 'niggers'), promoting extreme harm and violence. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
65,in burn can niggas hell niggas burn all the niggers in,152.499,168.678,,,,EXTREMISM_PROMOTION,LOW,Explicit promotion of violence against a racial group ('niggers in') and use of derogatory language ('niggas niggas') in the span_text. | Overridden by deterministic minimum.,HARASSMENT_OBSCENITY
66,hell in burn can niggas burn all the niggers in,152.78,168.678,,,,EXTREMISM_PROMOTION,LOW,Explicit mention of violence and racial slurs in the span_text. | Overridden by deterministic minimum.,HARASSMENT_OBSCENITY
67,niggas hell in burn burn all the niggers in,152.9,168.678,,,,HATE_SPEECH_GENERAL,LOW,"The span_text contains explicit racial slurs, such as 'niggers', which is a clear indicator of hate speech. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
68,burn niggas hell in all the niggers in this bitch you motherfuckers used to be slaves now you think you can ride in my escalade stupid ass nigger,153.241,177.65,,,,EXTREMISM_PROMOTION,LOW,"The span_text contains extreme language and hate speech towards a specific racial group, including the use of derogatory terms and threats of violence. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
69,you think you now can ride in my escalade stupid ass nigger better clean my car good before i get this whip out and then shoot you in,173.044,182.137,,,,EXTREMISM_PROMOTION,LOW,"The span_text contains a threat of violence ('shoot you in') and a racial slur ('nigger') when not explicitly marked as false, implying a severe escalation of harm. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
70,get i before good this whip out and then shoot you in your hood dumbass nigger stupid ass nigger you calling me a cracker well it's better to,178.912,188.746,,,,EXTREMISM_PROMOTION,LOW,"The span_text contains multiple instances of hate speech, including racial slurs ('nigger'), derogatory language ('dumbass', 'stupid ass'), and a threat of violence ('shoot you in your hood'). | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
71,you nigger ass stupid calling me a cracker well it's better to be a nigger better than being a,185.001,191.65,,,,HATE_SPEECH_GENERAL,HIGH,"Presence of racial slurs ('nigger', 'cracker') and derogatory language ('stupid ass')",HATE_SPEECH_GENERAL
72,better it's well cracker to be a nigger better than being a,187.344,191.65,,,,HATE_SPEECH_GENERAL,HIGH,"The presence of a racial slur ('nigger') in the span_text, regardless of intent, justifies a label of HATE_SPEECH_GENERAL.",HATE_SPEECH_GENERAL
73,to better it's well be a nigger better than being a,188.025,191.65,,,,HATE_SPEECH_GENERAL,HIGH,"The presence of the racial slur 'nigger' in the span_text, which is not justified or framed as educational, fictional, or artistic, meets the criteria for HATE_SPEECH_GENERAL.",HATE_SPEECH_GENERAL
74,be to better it's a nigger better than being a,188.345,191.65,,,,HATE_SPEECH_GENERAL,HIGH,The presence of a racial slur ('nigger') in the span_text is a clear indicator of hate speech.,HATE_SPEECH_GENERAL
75,a be to better nigger better than being a,188.465,191.65,,,,HATE_SPEECH_GENERAL,HIGH,The presence of the racial slur 'nigger' in the span_text indicates hate speech.,HATE_SPEECH_GENERAL
76,nigger a be to better than being a nigger bitch you're so black,188.706,194.694,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains multiple instances of racial slurs ('nigger' and 'nigger bitch'), which is a clear indicator of hate speech.",HATE_SPEECH_GENERAL
77,better nigger a be than being a nigger bitch you're so black,188.826,194.694,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains racial slurs ('nigger') and derogatory language ('nigger bitch'), which are indicative of hate speech.",HATE_SPEECH_GENERAL
78,than better nigger a being a nigger bitch you're so black,188.966,194.694,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains a racial slur ('nigger') and a derogatory term ('nigger bitch'), which is a clear indicator of hate speech.",HATE_SPEECH_GENERAL
79,being than better nigger a nigger bitch you're so black,189.066,194.694,,,,HATE_SPEECH_GENERAL,HIGH,"The presence of the racial slur 'nigger' and the derogatory term 'bitch' in the span_text, which targets a person's race and gender, respectively, justify the HATE_SPEECH_GENERAL label.",HATE_SPEECH_GENERAL
80,a being than better nigger bitch you're so black,190.148,194.694,,,,HATE_SPEECH_GENERAL,HIGH,"The presence of racial slurs and derogatory language ('nigger', 'bitch', 'black') justifies the label of HATE_SPEECH_GENERAL.",HATE_SPEECH_GENERAL
81,nigger a being than bitch you're so black you look like a damn shade bitch clean my car,190.568,200.273,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains multiple instances of derogatory language, including 'nigger', 'bitch', and a racial slur by implication ('you look like a damn shade'), which is indicative of hate speech.",HATE_SPEECH_GENERAL
82,look you black so like a damn shade bitch clean my car,194.253,200.273,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains a racial slur and a derogatory comment, which are indicative of hate speech.",HATE_SPEECH_GENERAL
83,like look you black a damn shade bitch clean my car,194.454,200.273,,,,HATE_SPEECH_GENERAL,HIGH,"The presence of profanity ('damn shade') and a derogatory term ('bitch') indicates hate speech, despite the absence of a slur.",HATE_SPEECH_GENERAL
84,a like look you damn shade bitch clean my car,194.734,200.273,,,,HATE_SPEECH_GENERAL,HIGH,"The presence of profanity ('damn', 'shade', 'bitch') and derogatory language ('bitch') indicates hate speech.",HATE_SPEECH_GENERAL
85,damn a like look shade bitch clean my car,194.954,200.273,,,,HATE_SPEECH_GENERAL,HIGH,"The presence of profanity, specifically 'damn', 'bitch', and 'shade', contributes to a general tone of hate speech.",HATE_SPEECH_GENERAL
86,shade damn a like bitch clean my car while i drink lemonade you fucking slave bobby,195.335,205.895,,,,HATE_SPEECH_GENERAL,HIGH,The presence of explicit profanity ('fucking') and derogatory language ('slave') indicates a high level of harmful content.,HATE_SPEECH_GENERAL
87,car my clean bitch while i drink lemonade you fucking slave bobby,198.667,205.895,,,,HATE_SPEECH_GENERAL,HIGH,Presence of explicit profanity ('fucking') and derogatory phrase ('you fucking slave').,HATE_SPEECH_GENERAL
88,while car my clean i drink lemonade you fucking slave bobby,199.51,205.895,,,,HATE_SPEECH_GENERAL,HIGH,"The presence of the phrase 'you fucking slave' constitutes hate speech, which is a general form of hate speech that targets individuals based on their identity or characteristics.",HATE_SPEECH_GENERAL
89,i while car my drink lemonade you fucking slave bobby,199.791,205.895,,,,HATE_SPEECH_GENERAL,HIGH,"The presence of the phrase 'you fucking slave' indicates hate speech, which is a general form of hate speech that does not necessarily promote extremism or harassment.",HATE_SPEECH_GENERAL
90,drink i while car lemonade you fucking slave bobby,199.952,205.895,,,,HATE_SPEECH_GENERAL,HIGH,"The presence of the word 'fucking' and the derogatory term 'slave' in the span_text, which is not mitigated by any context or educational intent, justifies the classification of HATE_SPEECH_GENERAL.",HATE_SPEECH_GENERAL
91,lemonade drink i while you fucking slave bobby 2 pistols man,200.313,206.758,,,,HATE_SPEECH_GENERAL,HIGH,Presence of profanity ('fucking') and derogatory tone towards a person ('you slave bobby') without explicit hate speech or targeted insult.,HATE_SPEECH_GENERAL
92,you lemonade drink i fucking slave bobby 2 pistols man,200.755,206.758,,,,HATE_SPEECH_GENERAL,HIGH,"Presence of profanity ('fucking') and potentially derogatory tone towards 'slave', which may be perceived as hate speech.",HATE_SPEECH_GENERAL
93,fucking you lemonade drink slave bobby 2 pistols man,200.855,206.758,,,,HATE_SPEECH_GENERAL,HIGH,"Presence of excessive profanity ('fucking') and derogatory tone targeting a person ('slave bobby'), indicating a general tone of hate speech.",HATE_SPEECH_GENERAL
94,slave fucking you lemonade bobby 2 pistols man fuck all those niggas man real nigger anthem,201.257,209.689,,,,HATE_SPEECH_GENERAL,HIGH,"Presence of racial slurs ('nigger') and excessive profanity ('fucking', 'fuck') in the span_text.",HATE_SPEECH_GENERAL
95,niggas those all fuck man real nigger anthem,207.38,209.689,,,,HATE_SPEECH_GENERAL,HIGH,The presence of the racial slur 'nigger' and excessive profanity ('fuck') in the span_text justify the label.,HATE_SPEECH_GENERAL
96,man niggas those all real nigger anthem,207.621,209.689,,,,HATE_SPEECH_GENERAL,HIGH,The presence of the racial slur 'nigger' and derogatory term 'niggas' in the span_text justifies the classification as HATE_SPEECH_GENERAL.,HATE_SPEECH_GENERAL
97,real man niggas those nigger anthem,207.742,209.689,,,,HATE_SPEECH_GENERAL,HIGH,"The presence of the word 'nigger' is a racial slur, which is a strong indicator of hate speech.",HATE_SPEECH_GENERAL
98,nigger real man niggas anthem,207.922,209.689,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains a racial slur ('nigger'), which is a strong indicator of hate speech.",HATE_SPEECH_GENERAL
99,anthem nigger real man you,208.244,231.24,,,,HATE_SPEECH_GENERAL,HIGH,Presence of racial slur 'nigger' in the span_text,HATE_SPEECH_GENERAL
