original_index,span,label
468,I say we just do the hunger games with every,CONFLICTUAL
475,I hope it hurts like a bitch,CONFLICTUAL
478,"no regard for human feelings... nothing!?! shege, waka!! bloody bastard",CONFLICTUAL
482,and not having some filthy pig like yourself tax it,CONFLICTUAL
489,with everything+us.. and look what these fools are doing. Skybastards/murderers.,CONFLICTUAL
492,@user I don't know how people worship that orange blob.,CONFLICTUAL
515,all your supporters are fucking treasonist losers. It's over. Go,CONFLICTUAL
516,@RMConservative Got ta be the dumbest most uninformed comment I've',CONFLICTUAL
532,@GretaThunberg Are you fingering or use a vibrator for an,CONFLICTUAL
535,@user Well he's' right it's a pile of shite and,CONFLICTUAL
539,changed the alt left to look like pussies and you,CONFLICTUAL
545,you felt suicidal it's a strange idea to create a,CONFLICTUAL
546,@CanaryMugume How gayman? How did i need them? Joined on,CONFLICTUAL
556,@jakluge What charming Western naivety! You succumb 2the self-delusion: Navalny,CONFLICTUAL
558,"our friends, threaten to kill us, r * pe us,",CONFLICTUAL
566,M & L finally disproved hair color correlates to stupidity.,CONFLICTUAL
585,'EXECUTIVE TIME' = stuffing his fat face with Egg McMuffins,CONFLICTUAL
587,"Anything? 🙏 He's such a weaselly, phlegmy little man. 🤮🤮🤮",CONFLICTUAL
597,"idiot, learn to respect people and their pages otherwise okyavumibwa....",CONFLICTUAL
601,of PUT CALLS on them bastards. I would be able,CONFLICTUAL
611,excuses. People who do fake giveaways are just disgusting. You,CONFLICTUAL
616,our children. Men or what ever you call (them) on,CONFLICTUAL
617,@user Kier Starmer fvcking well ABSTAINED. What a useless cvnt,CONFLICTUAL
626,"@user @user Yeah wankers, I had to go to work",CONFLICTUAL
633,just flipped over to Fox So-Called news to see what,CONFLICTUAL
634,them. If your kid sucks at sports just say that,CONFLICTUAL
643,SURE!!! All @TheDemocrats are lying pos fascist hate America scumbags,CONFLICTUAL
648,free dumb to threaten to shoot people because they're scared,CONFLICTUAL
650,will become President? The seedy incumbent (Rizzle) or the mysterious,CONFLICTUAL
651,are complete morons. The mendacious piece of garbage is you.,CONFLICTUAL
653,"speed up the process you dumb ass?!' * Me, watching",CONFLICTUAL
654,now... You was around Bronx niggas your whole college tenure,CONFLICTUAL
658,infection fatality rate while calling me scum. This day just,CONFLICTUAL
668,@wallaceme Pair of absolute arseholes,CONFLICTUAL
678,You bunch of vain animal fur-wearing cunts. And the Guards,CONFLICTUAL
691,thing with the kadabra lawsuit is dumb and fucking bullshit,CONFLICTUAL
697,don't like. That's how all commies come to be. Ignorance,CONFLICTUAL
699,@trvisXX Evil scumbag piece of shit,CONFLICTUAL
718,Wordsworth? I really think there's something wrong with his brain.,CONFLICTUAL
734,are a number of knuckle draggers who would love nothing,CONFLICTUAL
740,@user @RailaOdinga He looks physically and mentally weak... wrong choice!,CONFLICTUAL
742,But this is exactly what and who these scumbags are.,CONFLICTUAL
746,"ya maji, we NATIONALISTS you sh * t head.... but",CONFLICTUAL
748,carried away that even our dumbass fans think they are,CONFLICTUAL
750,women everywhere. Santa is a slut. MerryChristmas holiday Christian slut,CONFLICTUAL
752,you 💕 for the mean motherfuckers….. I hope you have,CONFLICTUAL
770,"isn't she? Learn to read, open the schools indeed dumbass",CONFLICTUAL
775,I'm joking; everyone just assumed and you're inside Hillary's asshole.,CONFLICTUAL
780,@user This bitch should be banned from being able to,CONFLICTUAL
813,"fucking speechless in the worst way possible, racist mf scumbags",CONFLICTUAL
814,@GregAbbott_TX @moodyforelpaso It's OK to crush women and girls. Just,CONFLICTUAL
822,we can outsmart those evil bastards and beat them at,CONFLICTUAL
831,week because I told that one Congressman in a 🦽,CONFLICTUAL
834,"a honest mistake when it clearly wasn't, a honest mistake",CONFLICTUAL
841,"@user My nigga, bros turned to hoes nowadays. Loyalty is",CONFLICTUAL
850,Addison Russell's further exposure as a piece of hot garbage.,CONFLICTUAL
866,dick of a bunch of old white people who don't,CONFLICTUAL
871,"to ditch the monarchy, I hate Prince Charles. Globalist scumbag.",CONFLICTUAL
876,@user If you are dumb enough to self administer veterinary,CONFLICTUAL
878,@user @user $ MOVR has a bigger TVL than ersdl,CONFLICTUAL
880,@user @user @user So that's' 3 a-holes then?,CONFLICTUAL
888,but can we stop treating children like they're literal retards?,CONFLICTUAL
918,fundamentally stupid that he still fails to perceive the problem,CONFLICTUAL
922,honestly anytime i see n/f/t techbro cry/pto losers in replies,CONFLICTUAL
935,"We don't need to read what racist ass Sullivan thinks,",CONFLICTUAL
941,I hate my sister so much. She won't stop projecting,CONFLICTUAL
944,see HER guns taken away due to severe mental illness.,CONFLICTUAL
945,like. Definitely a cat. Evil motherfuckers Vi is a kangaroo,CONFLICTUAL
947,me. Also I believe you are an Oscar Isaac supporter,CONFLICTUAL
960,initial decision only for wanker Masi to do an about,CONFLICTUAL
964,@majorgauravarya This is typical Stockholm Syndrome by Americans? Since Pakistani,CONFLICTUAL
975,the TV in a mad rage ihaye the fat cunt,CONFLICTUAL
979,Same as I've done previously ….. ignore the idiotic fookers.,CONFLICTUAL
981,@user fr!! also a lot of anorexic ppl don't understand,CONFLICTUAL
984,"cant believe the selfishness, and stupidity of these unvaccinated, I",CONFLICTUAL
989,glorifying or romaticizing eds/disordered eating is getting sn1ped idc idc,CONFLICTUAL
998,You got some balls/boobs smol thing fukin piece of shite.,CONFLICTUAL
1004,"outrage over a dead, vile shitbag only makes it funnier.",CONFLICTUAL
1014,tomo you pathetic ramping half breed. So many fucking rampers,CONFLICTUAL
1023,They should hire more leetcode wankers to solve the issue,CONFLICTUAL
1024,your adderall before you go noddy-blinkers again. LoL SleepyJoe NoFucksGiven,CONFLICTUAL
1027,love to hype their beloved COVID. Give it a REST.,CONFLICTUAL
1034,So you've put all of your faith in pharma?? Folks,CONFLICTUAL
1037,but these self righteous ignoramuses will bray like jackasses. I,CONFLICTUAL
1047,"paid to sit their fat. wrinkly asses home- but no,",CONFLICTUAL
1057,"@user @user @nelkboys Being an illegal, for the long term,",CONFLICTUAL
1066,not a suicide bomber. Cowards like Ilhan always find useful,CONFLICTUAL
1077,@user @SenTedCruz You are such a tRumpett you see nothing,CONFLICTUAL
1079,Described as an Intersectionalist Feminist! Whatever that is. From what,CONFLICTUAL
1084,man argument shows what a complete sycophantic moron you are.,CONFLICTUAL
1085,"young savage nigga down with that simpin'shit, you stupid bitch.'",CONFLICTUAL
1086,I still remember the little weasel leaking to CNN closed,CONFLICTUAL
1092,"Fuck all the way off, you lying sack of shit.",CONFLICTUAL
1095,that only for the king of the bullshitting benzo junkies?,CONFLICTUAL
1096,"would say he's a tosser like his dad, but I",CONFLICTUAL
1100,and say jean connie and reiner should violate her (btw,CONFLICTUAL
1105,"if you're angry at this thread -- don't be, i'm'",CONFLICTUAL
1107,fortune in the process. Once again Marxists are the retards,CONFLICTUAL
1111,condoned what a bunch of scumbags did. I find it,CONFLICTUAL
1114,@user What a complete tosspot!,CONFLICTUAL
1120,steal generational sacrifice. Those promoting this are disingenuous amoral scumbags.,CONFLICTUAL
1125,in regards to how many douchebags of all kinds come,CONFLICTUAL
1126,deaths Unprepared Gst that killed MSMEs and suicides. Attracted murderers,CONFLICTUAL
1134,"her! That',''ll' show the WORLD!','''' -this f * ckin',''' guy",CONFLICTUAL
1145,angry. Some group of posh twats in Borough market talking,CONFLICTUAL
1162,@user @user You poor soul... Racist? Clearly you haven't looked,CONFLICTUAL
1168,therapist -One of my roommates was being especially dickish today,CONFLICTUAL
1175,little twat who is a trans creep apologist to boot!,CONFLICTUAL
1180,just shows she's shitty like her abuser now and the,CONFLICTUAL
1181,pussy is so sexy white on black is the best,CONFLICTUAL
1185,groupie and your a goofy dum ass kid if you,CONFLICTUAL
1191,i hate how so many people are traveling to mexico,CONFLICTUAL
1193,My name is Ted Cruz and I'm a fucking seditionist,CONFLICTUAL
1197,Happy to know Pei's got my back against this lowlife.,CONFLICTUAL
1204,"NOT DISTURB, ya fuckin nerd. I literally ain't know. 🥺🥺🥺🥺",CONFLICTUAL
1205,@metpoliceuk Don't warn these thick bastards let them fvcking fry!,CONFLICTUAL
1206,damn about this. Hindus look meek and stupid repeating this,CONFLICTUAL
1229,the law. LETS HAVE SOME ACCOUNTABILITY. JAIL TIME!!! @user @TI_Canada,CONFLICTUAL
1232,"for (& some are, IMHO, bellends) & people he personally",CONFLICTUAL
1235,with Trump supporters. There is a difference you fucking dumbasses.,CONFLICTUAL
1236,@user @user Worst services and a bunch of lies... my,CONFLICTUAL
1239,Massive sense of self-importance mixed with a level of amorality,CONFLICTUAL
1246,festivel. Stupid fans will come in thousands to theatre. Govt,CONFLICTUAL
1250,n say they wan na k! ll themselves n also,CONFLICTUAL
1253,"for you: fueled by lack of morals and decency, heavy",CONFLICTUAL
1261,capable of. Self absorbed small minded gimps like you is,CONFLICTUAL
1268,DJT has to be told when he shits his pants.,CONFLICTUAL
1278,this country no one included you the coward idiots no,CONFLICTUAL
1286,trivial offences Authoritarian & also sinister…what is his endgame? …Scary,CONFLICTUAL
1294,@user @user @MarkDice They should be shot and their families,CONFLICTUAL
1298,US citizen but word on the street says Canada has,CONFLICTUAL
1303,"promote 'unity.','''' Great job, you insipid twatwaffle. See this @user",CONFLICTUAL
1304,Capitalists want money while communists want supremacy. Communists will win.,CONFLICTUAL
1308,@bernybelvedere Fauci is guilty of war crimes. His psychopathic lies,CONFLICTUAL
1314,blocked the floppy haired posh twat last week. He ain't,CONFLICTUAL
1316,and nuggets fan your life has to be depressing 🤣🤣,CONFLICTUAL
1317,"Give teachers a living wage, and you',''ll' attract decent teachers.",CONFLICTUAL
1322,I mean I wan na call him a cunt for,CONFLICTUAL
1323,black & white. Mitch is a bitch & nobody should,CONFLICTUAL
1325,"n't' they the most racist, vile, toxic govt of all",CONFLICTUAL
1335,"to them thou, thought they set up really well fansareracistbastardsthou",CONFLICTUAL
1337,to murder/harm him. Rosenbaum was an 11 time child rapist,CONFLICTUAL
1365,"only the most toxic, idiott, dumbasss, racistt, always disrespect other",CONFLICTUAL
1373,"feel fat' -No honey, you are fat, it's not just",CONFLICTUAL
1377,"to invalidate their experiences, you're the asshole and hard block",CONFLICTUAL
1381,@user @user He's a nobody Annette - block the fucker.,CONFLICTUAL
1385,@RepRaskin @user When Republicans lack the backbone to admit Trump,CONFLICTUAL
1389,don't just wan na defend themselves. You have many braincells.,CONFLICTUAL
1402,I see another stupid fucking question from this tiny dweeb.,CONFLICTUAL
1405,the have to use force and bully tactics ….. dipshits,CONFLICTUAL
1406,Democrats are immune and/or exempt from the Rule Of Law.,CONFLICTUAL
1441,because he wasn't a fucking communist like Obama & Biden!,CONFLICTUAL
1443,@wkyc This man is a douche nozzle.,CONFLICTUAL
1445,with another hun' bro shut up and post some booty,CONFLICTUAL
1449,are complete imbeciles. What a shame they are 'leadership'. So,CONFLICTUAL
1453,another Con boot kicking to the mouth breathing knuckle draggers.,CONFLICTUAL
1455,@VickerySec Arrest him! 25thAmendmentNow ImpeachTrumpNow... he is a very dangerous,CONFLICTUAL
1470,@user I still hate the Tory cnuts.,CONFLICTUAL
1477,blm off your bio ASAP and add karen instead. 😂,CONFLICTUAL
1479,Senator Kennedy was pretty good at killing using a car,CONFLICTUAL
1480,@mtgreenee Everything thing The Biden criminal Democrats have done is,CONFLICTUAL
1483,the rest of his life. Also—is he still a fascist?,CONFLICTUAL
1491,Just watching botched... Those Americans are just nuts. Why the,CONFLICTUAL
1497,"the way, when did Tucker stop beating his wife? How's'",CONFLICTUAL
1501,"@ZConine you are so full it, my wife has been",CONFLICTUAL
1512,hello kitty came out with their own line of meds,CONFLICTUAL
1514,if hes found guilty he gets cut lol why is,CONFLICTUAL
1522,"KEEP CALLING IT WHAT IT 💯 IS... CHINA VIRUS, butthole!",CONFLICTUAL
1524,"so many chill niggas on this site, and i don't",CONFLICTUAL
1557,@user tThis is for julias mean brain you big fat,CONFLICTUAL
1558,"Dear stupid Indian, if you don't want to play with",CONFLICTUAL
1567,This is just disgusting. PTM is just bunch of scumbags,CONFLICTUAL
1569,Furious enough I wanted to key his truck. It said,CONFLICTUAL
1578,who just seems to pretend treatment resistant depression doesn't exist.,CONFLICTUAL
1593,not even getting game time! Away talk shite fucking moron.,CONFLICTUAL
1596,@user @Broncos @DrewLock23 How does a load of horsecock up,CONFLICTUAL
1599,"it. yous are calling civil servants',''the' rich',''' man shut up",CONFLICTUAL
1602,Even now it's ‘ done ' 😂 You're a twat,CONFLICTUAL
1616,a real world culling of the stupids. I refuse to,CONFLICTUAL
1619,You really are an opportunistic pile of shit,CONFLICTUAL
1625,Talk about the incurable condition of being a little bitch.,CONFLICTUAL
1628,He is just an utter moron... how he arrived in,CONFLICTUAL
1629,Trump would've been exposed as a pervert raping underage girls.,CONFLICTUAL
1639,@user stupid ass bitche shut the fuck up cry baby,CONFLICTUAL
1648,"relationship with the US, get called',''Caniggers',''' then the problem is",CONFLICTUAL
1651,You niggas with egos the size of Texas but w/,CONFLICTUAL
1654,all this 'research' aka a white gay who isn't 'stereotypical',CONFLICTUAL
1659,the build up you idiot read my 1st tweet dumbass,CONFLICTUAL
1661,@user Get the initials mp removed from her title immediately,CONFLICTUAL
1666,all those men trying to chop off her head. Like,CONFLICTUAL
1690,choose to reduce their profile. Others are complete fucking morons.,CONFLICTUAL
1692,conservatives This is only going to get worse very depressing,CONFLICTUAL
1702,vote and say FO you orange twat. Ok that's a,CONFLICTUAL
1729,"Fuck that, too many retarded motherfuckers allowed to vote as",CONFLICTUAL
1743,age qualifies him and its queue not cue you halfwit🙂,CONFLICTUAL
1760,Even after the vaccine. That shithead Fauci moves the goalposts,CONFLICTUAL
1762,there's' just a crazy girl who is obsessed with jungkook,CONFLICTUAL
1765,"some of the worthless, grifting cretins in government. That'll' do",CONFLICTUAL
1773,@user Atmospheric mean and moody.,CONFLICTUAL
1785,we please leave crusty dusty ethnicity changing @NikitaDragun in 2020...,CONFLICTUAL
1790,get a pic you console bum if you were any,CONFLICTUAL
1801,that means Nicki wasn't snorting coke like your mother while,CONFLICTUAL
1804,"his slutty hole. 'Who gave you permission to speak, knotslut~?'",CONFLICTUAL
1808,"horse dewormer, is' n't' CNN insinuating, at the very least,",CONFLICTUAL
1813,won't wash. The jingoistic rhetoric you used before Brexshit has,CONFLICTUAL
1816,didn't include that statistic in the original tweet. Fucking numpties.,CONFLICTUAL
1818,at their live actions of torture who act like it's,CONFLICTUAL
1823,"in hindsight, DT was the most hostile president toward people",CONFLICTUAL
1831,to see big brands hire chumps for the clicks. Football,CONFLICTUAL
1834,@user I'm open for scientific experimentation on these cnuts.,CONFLICTUAL
1843,"fraud, you are just incredibly idiotic and moronic. TedCruzIsAMoron TedCruzIsATraitor",CONFLICTUAL
1844,If challenged on face nappy wearing? Repeat after me. 'I,CONFLICTUAL
1845,be. You're starting to look like another click whore. May,CONFLICTUAL
1852,white mans whore for bill hader,CONFLICTUAL
1854,Me and this nigga just fucked less than 24 hours,CONFLICTUAL
1856,@user @BlueJacketsNHL Imagine being this butt hurt about the exactly,CONFLICTUAL
1863,@user yo mama so fat 😩🔪😂💣🤕😏😜she committed suicid 😂😂😂😂😂💀💀💀💀that emoji,CONFLICTUAL
1871,so they gravitate toward Trump acolytes like that spineless weasel,CONFLICTUAL
1874,"@user What a fucking lying, corrupt, self serving cow 😡😡😡😡",CONFLICTUAL
1880,Dear Mr Bacon Strip in your fucking shorts. You voted,CONFLICTUAL
1883,"leering, my old Victorian lady looks a tired whore. 'It's",CONFLICTUAL
1885,be correct. It's no wonder ppl think you're a joke,CONFLICTUAL
1892,Could partly explain why she's aging so quickly too! The,CONFLICTUAL
1894,state to elect a satanic sheep who goes against our,CONFLICTUAL
1895,Colorado and dump this numbskull from representing you. Boebert got,CONFLICTUAL
1900,"specially people in abusive relationships, can't feel bad for them",CONFLICTUAL
1905,"in world where tigerwoods a cheating narcissist is trending, but",CONFLICTUAL
1906,@user Take a motheruckingggg shottttt bitchhhhh🤪🤪🤪😂😂😂😂,CONFLICTUAL
1922,about as funny as woodworm in a cripples crutch. fattwat,CONFLICTUAL
1932,to explain your own statement to you. Stupid ass motherfucker,CONFLICTUAL
1936,@user Ole and his entire crew are very wicked Just,CONFLICTUAL
1938,@RobertKennedyJr you're worse than the orange blob trump. America hopes,CONFLICTUAL
1940,a girl cause they be moody af attitude on stank,CONFLICTUAL
1942,being taken over by northern halfwits with their a-pacifistic propaganda.,CONFLICTUAL
1949,"you with the 'look, you fuckin weirdo' just know... it's",CONFLICTUAL
1951,@user @user Yonny you a slutty boy!?,CONFLICTUAL
1959,fucking witnesses? Is everyone in the Senate taking crazy pills?!,CONFLICTUAL
1961,because your a fucking loser pussy. Get a fucking life.,CONFLICTUAL
1964,@user @danilic Adobe users are the gimps of customers.,CONFLICTUAL
1976,"dumb take, what shaking your dirty black asses is culture?",CONFLICTUAL
1980,why do you use Peter Walton? He's wrong 99 %,CONFLICTUAL
1981,"the male dominate, privileged plonkers that can't organise anything. Can",CONFLICTUAL
1986,"who probably could','n't' get elected chief dog crap remover without",CONFLICTUAL
1989,from a scrawny ass teenager so he shot him. Definition,CONFLICTUAL
1992,something he didn't actually say. You'll feel the consequences soon.,CONFLICTUAL
1994,whispering to myself: 'This guy is scum. Nothing but scum.,CONFLICTUAL
2009,@user @user @user You weren't so compassionate that you didn't,CONFLICTUAL
2017,@user @user You selfish heartless bastard! I have done better,CONFLICTUAL
2018,just straight boo boo the mothafuckin fool,CONFLICTUAL
2040,white they were screaming nig * er at people they,CONFLICTUAL
2044,long memories. Your incompetence as Premier was on display during,CONFLICTUAL
2057,course the cowardice lying cheating corrupt treasonous racist bigot won't,CONFLICTUAL
2064,@user nigga ur simp ass did this to urself fr,CONFLICTUAL
2067,you wish. Indywankers have never presented an economic case for,CONFLICTUAL
2072,"egotistical pathetic homophobic lying cheating racist sexist corrupt cowardly Trump,",CONFLICTUAL
2081,"@user no nigga, the bitch wouldn't stop eating my pussy.",CONFLICTUAL
2088,"To my few niggas who tagged bros, even if I",CONFLICTUAL
2094,"the artist, you insensitive, ignorant piece of garbage. 'iT WoNT",CONFLICTUAL
2100,"youtube for the number of 'viewers',''''... It's a joke!!!! MAGA",CONFLICTUAL
2101,to stop the cheating this election 2022 🤣💪👍 it's a,CONFLICTUAL
2111,This administration needs to stop being so inept and incompetent,CONFLICTUAL
2122,@user Everyone is smoking something cuz its 9 the 2,CONFLICTUAL
2126,rest Danny. You've' been murdering Palestinians for decades. People who,CONFLICTUAL
2133,disgusting weirdos that should be locked up SNPforthecreationofPaedos SNPfortheprotectionofPaedos SNPforscumbagSNPaedos,CONFLICTUAL
2136,@user @user This must be for a paedo ring. The,CONFLICTUAL
2139,I hope the prick gets what's coming and more wba,CONFLICTUAL
2143,@user Dont get me going about these pricks we can,CONFLICTUAL
2145,"morally depraved, then it doesn't matter how we treat him,",CONFLICTUAL
2159,@user yea different fonts of whores,CONFLICTUAL
2165,@IvankaTrump You get no say. Not your call. Now crate,CONFLICTUAL
2172,at the same time. He didn't call anyone a nigger.,CONFLICTUAL
2182,Why are these lowlifes so against the police? Surely they,CONFLICTUAL
2190,votes were organic you are a serious retard... nothing more,CONFLICTUAL
2194,"on fire. Especially if it's dead glass, you ignorant cunt.",CONFLICTUAL
2208,AF and you know it- you are offensive and absurd.,CONFLICTUAL
2212,Glad to know k ksi ko physically hurt nhi kia,CONFLICTUAL
2215,way to inform without posting the orange blob moron crap🤬,CONFLICTUAL
2217,is at fundraising. Is this what they call virtue signalling?,CONFLICTUAL
2222,until somebody sends gas * //killed suicide bomber for this,CONFLICTUAL
2232,from suicidal. He is a complete narcissistic idiot. Making fun,CONFLICTUAL
2233,are we still allowing cunts like @JoeBiden to be filthy,CONFLICTUAL
2234,stop fucking saying and doing these thing when they can,CONFLICTUAL
2255,the older generation that needs to be more aware of,CONFLICTUAL
2263,a pandemic year they come across as self entitled cockwombles.,CONFLICTUAL
2273,hard to imagine bastards like these republicans believe in hell..,CONFLICTUAL
2279,think that Teddy Cruz can't sink any lower he'll find,CONFLICTUAL
2284,"was optimistic about 'Barack the Magic Negro ,'''' trying to",CONFLICTUAL
2287,the USD products because I am Iranian -Canadian! All I,CONFLICTUAL
2290,"@user @mtgreenee She's truly fooked in the head, she clearly",CONFLICTUAL
2297,some of you people are so fucking dumb you'd jump,CONFLICTUAL
2298,mortality. One wonders why this verbose halfwit is on air,CONFLICTUAL
2301,I wish some of y'all would stfu about y'all baby,CONFLICTUAL
2302,This knuckle dragging Neanderthal represents my area of the state.,CONFLICTUAL
2325,they wouldn't have to risk there lives for ungrateful twats,CONFLICTUAL
2332,Cold War it ruined one my favorite games. Screw you,CONFLICTUAL
2355,with autistic children in the past and don't hate them.,CONFLICTUAL
2360,great job occupy rat party asswipes who support this bullshit,CONFLICTUAL
2363,"we did vote the orange turd blossom out. But, 77",CONFLICTUAL
2369,our White House ANYMORE!! Arrest his lame duck crybaby ass!,CONFLICTUAL
2373,thinking! Another jihadist tribal extremist vomiting their hatred of Amhara,CONFLICTUAL
2383,checked. 9.9 Also she's just a fucking racist twat and,CONFLICTUAL
2386,@BorisJohnson All of you spiteful bastards on this why don't,CONFLICTUAL
2408,Foolish i had no idea he was a whore until,CONFLICTUAL
2414,be treated like a dirty little slut nsfwtwt معصيتي__رIحتي سالب_الرياض,CONFLICTUAL
2415,Sirianni is a cocksucker,CONFLICTUAL
2417,@user Fauci is a megalomaniac. A Megalomaniac is a pathological,CONFLICTUAL
2418,hole because we are letting in to many scumbags 'they,CONFLICTUAL
2419,@user @Trevornoah Black folks have been demonstrating & rioting for,CONFLICTUAL
2429,read d original tweet??. You are d senseless and scumbag,CONFLICTUAL
2431,one cis white man don't reflect on the entire population.,CONFLICTUAL
2450,@rickygervais I think you are a fucking imbecile bud. I'll',CONFLICTUAL
2451,"Massachusetts decides to put the unvaccinated on lockdown, I unfortunately",CONFLICTUAL
2454,years now. He is emotionally and physically abusive. I have,CONFLICTUAL
2466,@ananavarro I think this man must be a false prophet!,CONFLICTUAL
2467,@user It's because of motherfvckers like you people suffer from,CONFLICTUAL
2470,I'd have to make a stupid assumption like your post.,CONFLICTUAL
