span_id,span_text,start_time,end_time,has_excessive_profanity,has_slur,has_targeted_insult,llm_label,llm_confidence,llm_rationale,final_enforced_label
78,than better nigger a being a nigger bitch you're so black,188.966,194.694,,,,,,,
79,being than better nigger a nigger bitch you're so black,189.066,194.694,,,,,,,
80,a being than better nigger bitch you're so black,190.148,194.694,,,,,,,
81,nigger a being than bitch you're so black you look like a damn shade bitch clean my car,190.568,200.273,,,,,,,
82,look you black so like a damn shade bitch clean my car,194.253,200.273,,,,,,,
83,like look you black a damn shade bitch clean my car,194.454,200.273,,,,,,,
84,a like look you damn shade bitch clean my car,194.734,200.273,,,,,,,
85,damn a like look shade bitch clean my car,194.954,200.273,,,,,,,
86,shade damn a like bitch clean my car while i drink lemonade you fucking slave bobby,195.335,205.895,,,,,,,
87,car my clean bitch while i drink lemonade you fucking slave bobby,198.667,205.895,,,,,,,
88,while car my clean i drink lemonade you fucking slave bobby,199.51,205.895,,,,,,,
89,i while car my drink lemonade you fucking slave bobby,199.791,205.895,,,,,,,
90,drink i while car lemonade you fucking slave bobby,199.952,205.895,,,,,,,
91,lemonade drink i while you fucking slave bobby 2 pistols man,200.313,206.758,,,,,,,
92,you lemonade drink i fucking slave bobby 2 pistols man,200.755,206.758,,,,,,,
93,fucking you lemonade drink slave bobby 2 pistols man,200.855,206.758,,,,,,,
94,slave fucking you lemonade bobby 2 pistols man fuck all those niggas man real nigger anthem,201.257,209.689,,,,,,,
95,niggas those all fuck man real nigger anthem,207.38,209.689,,,,,,,
96,man niggas those all real nigger anthem,207.621,209.689,,,,,,,
97,real man niggas those nigger anthem,207.742,209.689,,,,,,,
98,nigger real man niggas anthem,207.922,209.689,,,,,,,
99,anthem nigger real man you,208.244,231.24,,,,,,,
